BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
BRAHMIA A|01:750:203:00|4.87|4.81|4.80|4.83|4.57|4.71|4.62|3.86|4.78|4.57|4.81|3.87|4.30|4.47|4.78|3.98
WU W|01:750:203:03|4.27|4.13|3.92|4.30|4.18|3.93|3.99|3.66|3.93|3.99|4.34
WU W|01:750:203:06|4.27|4.13|3.92|4.30|4.18|3.93|3.99|3.66|3.93|3.99|4.34
WU W|01:750:203:09|4.27|4.13|3.92|4.30|4.18|3.93|3.99|3.66|3.93|3.99|4.34
WU W|01:750:203:12|4.27|4.13|3.92|4.30|4.18|3.93|3.99|3.66|3.93|3.99|4.34
FRIEDAN D|01:750:203:16|4.27|4.13|3.92|4.30|4.18|3.93|3.99|3.66|3.93|3.99|4.34
FRIEDAN D|01:750:203:17|4.27|4.13|3.92|4.30|4.18|3.93|3.99|3.66|3.93|3.99|4.34
FRIEDAN D|01:750:203:18|4.27|4.13|3.92|4.30|4.18|3.93|3.99|3.66|3.93|3.99|4.34
CROFT M|01:750:204:00|3.68|4.21|3.94|4.37|4.24|3.65|3.58|3.11|3.54|3.53|4.76|4.12|4.11|4.43|4.18|3.69
CROFT M|01:750:204:00|3.68|4.21|3.94|4.37|4.24|3.65|3.58|3.11|3.54|3.53|4.76|4.12|4.11|4.43|4.18|3.69
CROFT M|01:750:204:00|3.68|4.21|3.94|4.37|4.24|3.65|3.58|3.11|3.54|3.53|4.76|4.12|4.11|4.43|4.18|3.69
CROFT M|01:750:204:00|3.68|4.21|3.94|4.37|4.24|3.65|3.58|3.11|3.54|3.53|4.76|4.12|4.11|4.43|4.18|3.69
CROFT M|01:750:204:00|3.68|4.21|3.94|4.37|4.24|3.65|3.58|3.11|3.54|3.53|4.76|4.12|4.11|4.43|4.18|3.69
